cyc,freq,Charge Time,Wiggle Time,Pulse Time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
55,44.827,0.75,0.11,0.12,1.4,55,34405.1,-0.0662133,58.8497,13.4644,78.8469,-0.00689187,-12.3586,500,-0.410498,2.59722,6.76806,-2.54523,0.496456,-38.987,3592.7,-43.2859,32567.7,25797.3,-0.165007,2.84271,7.25904,-2.29974,0.741947,0.133658,3647.39,-39.2353,32622.4,0.0865502,1.01919,-0.00222044,42141.8 
56,44.806,0.51,0.35,0.12,1.4,56,33460.8,-0.475885,56.0702,13.9252,78.6517,-0.412584,732.34,354.554,0.12814,1.65509,9.72001,2.62908,3.44816,-1.40761,1593.78,-75.9161,33512.9,35253.2,0.137004,1.66396,9.73774,2.63794,3.45702,0.447775,1595.75,-75.7699,33514.9,0.0387853,1.09062,-0.00418202,41143.3 
57,44.827,0.63,0.23,0.12,1.4,57,37064.4,-0.0431103,64.2729,13.1096,78.9552,0.228292,606.436,499.928,1.50214,-0.884288,3.04021,1.4421,4.0177,-0.76716,13072.9,120.551,25430.7,31936,1.50697,-0.879457,3.04987,1.44693,4.02253,0.666566,13073.9,120.63,25431.7,0.303457,0.98411,0.00866197,43083.4 
58,44.812,0.67,0.19,0.12,1.4,58,35419.2,-0.0434979,56.5883,14.2677,78.568,-0.0363228,10.6265,500,2.24435,1.45929,2.95377,-0.236775,5.4522,-14.9913,1151.23,-108.866,35588.3,26295.6,2.33875,1.55369,3.14256,-0.142379,5.5466,0.747367,1172.26,-107.309,35609.3,0.0271411,1.19075,-0.00558217,43191.3 
59,44.812,0.59,0.27,0.12,1.4,59,34184.6,-0.444248,59.9287,13.231,78.8271,0.65335,-1682.43,82.992,-0.786347,1.28792,5.07495,3.81354,5.93314,54.9747,6099.63,-20.0868,29818.6,61595.3,-1.13251,0.941761,4.38263,3.46738,5.58698,0.669142,6022.52,-25.7985,29741.5,0.146471,1.00755,-0.00160044,41117.5 
60,44.821,0.51,0.35,0.12,1.4,60,35040.6,-0.0405699,56.9997,13.9872,78.6617,-0.0389342,11.6813,386.52,-1.35387,-0.367252,2.56963,2.7779,0.365307,9.66024,3642,-30.0456,32851,25968.5,-1.4147,-0.42808,2.44798,2.71707,0.304479,0.325022,3628.45,-31.0492,32837.5,0.0856238,1.0152,-0.00174483,42376.6 
61,44.812,0.55,0.31,0.12,1.4,61,33561.2,-0.075789,57.8746,13.2446,78.6522,-0.0589589,79.2422,500,2.21683,3.91893,6.94117,3.52041,2.76033,-28.0267,6705.85,9.55658,28462.9,25105.1,2.39331,4.09541,7.29412,3.69689,2.93681,0.642735,6745.16,12.4684,28502.3,0.167051,0.996776,0.000805189,40377.8 
62,44.827,0.59,0.27,0.12,1.4,62,33814.7,-0.0147102,57.689,13.3401,78.7883,-0.0430769,41.3839,500,-0.0158833,1.51872,4.96017,1.12248,3.02015,10.5612,4396.32,-24.262,30971.2,25110.3,-0.0823841,1.45222,4.82717,1.05598,2.95365,0.527056,4381.5,-25.3592,30956.4,0.107101,1.01023,-0.00151132,40910.1 
63,44.821,0.71,0.15,0.12,1.4,63,33218.8,-0.0417057,60.5018,12.5804,79.0468,0.0130449,-40.2728,0.789767,-0.689479,1.66779,-1.26469,2.83517,3.85167,-18.7528,11087.2,101.496,23824.3,24794.6,-0.571397,1.78587,-1.02852,2.95325,3.96975,1.14468,11113.6,103.444,23850.6,0.283096,0.983972,0.00792621,39257.2 
64,44.842,0.55,0.31,0.12,1.4,64,34325.2,-0.29968,55.9983,14.119,78.7512,0.177294,-469.881,0.597808,0.6032,2.65503,2.80897,1.06329,3.92929,-21.2962,957.81,-78.5225,34817,28449.9,0.737296,2.78913,3.07717,1.19739,4.06339,0.740638,987.68,-76.3099,34846.9,0.0234565,1.15635,-0.0040503,42107 
65,44.812,0.63,0.23,0.12,1.4,65,33098.4,-0.0541004,55.5849,13.5737,78.7171,-0.0664568,75.6046,499.039,-0.282268,3.26482,3.97746,0.801223,1.96706,11.5008,1898.6,-93.2337,32739.7,24724.8,-0.354686,3.19241,3.83262,0.728805,1.89465,0.587615,1882.47,-94.4286,32723.5,0.046485,1.09623,-0.00534407,40496.2 
66,44.818,0.71,0.15,0.12,1.4,66,37782,-0.414533,65.3739,13.2728,78.9827,-0.50298,592.415,0.695605,3.23015,1.21343,2.68217,1.58454,0.515571,17.6744,13397.7,105.65,25851.8,37946.2,3.11886,1.10214,2.45958,1.47325,0.40428,0.712602,13372.9,103.814,25827,0.304978,0.986597,0.00735009,43848.7 
67,44.842,0.63,0.23,0.12,1.4,67,32769.1,-0.0900238,55.4328,13.5936,79.0126,1.44609,7109.3,499.945,-0.377624,-0.673819,-0.639364,-0.673284,-0.38442,32.4385,670.596,-90.718,33751.7,359200,-0.581881,-0.878076,-1.04788,-0.87754,-0.588677,0.73632,625.097,-94.0882,33706.2,0.0154733,1.3576,-0.00516867,40398.4 
68,44.806,0.63,0.23,0.12,1.4,68,33328.5,-0.012158,56.0094,13.585,78.8218,-0.0277673,-0.995126,500,-0.869249,2.72568,2.40438,0.460635,2.01229,-20.8338,1686.75,-86.5669,33302.3,24770.4,-0.738064,2.85687,2.66675,0.59182,2.14348,0.645419,1715.97,-84.4023,33331.5,0.0418047,1.09418,-0.00468645,41047.2 
69,44.839,0.67,0.19,0.12,1.4,69,34852.3,-0.189102,58.6543,13.6773,78.7036,-0.248321,697.674,2.11173e-05,0.257081,1.88789,5.20778,-2.50363,-0.484443,1.31326,4050.14,-54.4019,32425.7,31755.2,0.248811,1.87962,5.19124,-2.5119,-0.492712,-0.203051,4048.3,-54.5384,32423.8,0.0956855,1.02415,-0.00310814,42308.4 
